login,id,type,html_url
mojombo,1,User,https://github.com/mojombo
defunkt,2,User,https://github.com/defunkt
pjhyett,3,User,https://github.com/pjhyett
wycats,4,User,https://github.com/wycats
ezmobius,5,User,https://github.com/ezmobius
ivey,6,User,https://github.com/ivey
evanphx,7,User,https://github.com/evanphx
vanpelt,17,User,https://github.com/vanpelt
wayneeseguin,18,User,https://github.com/wayneeseguin
brynary,19,User,https://github.com/brynary
kevinclark,20,User,https://github.com/kevinclark
technoweenie,21,User,https://github.com/technoweenie
macournoyer,22,User,https://github.com/macournoyer
takeo,23,User,https://github.com/takeo
caged,25,User,https://github.com/caged
topfunky,26,User,https://github.com/topfunky
anotherjesse,27,User,https://github.com/anotherjesse
roland,28,User,https://github.com/roland
lukas,29,User,https://github.com/lukas
fanvsfan,30,User,https://github.com/fanvsfan
tomtt,31,User,https://github.com/tomtt
railsjitsu,32,User,https://github.com/railsjitsu
nitay,34,User,https://github.com/nitay
kevwil,35,User,https://github.com/kevwil
KirinDave,36,User,https://github.com/KirinDave
jamesgolick,37,User,https://github.com/jamesgolick
atmos,38,User,https://github.com/atmos
errfree,44,Organization,https://github.com/errfree
mojodna,45,User,https://github.com/mojodna
bmizerany,46,User,https://github.com/bmizerany
